Lijst 5,Lijst 6,Lijst 7,Lijst 8
,,,
hittegolf,officier,saxofoon,precies
spaarrekening,uitdrukking,explosie,recessie
worstenbroodje,ontdekker,maximum,racisme
broodmand,schitterend,expres,hyacint
prikkeldraad,interessant,luxe ,principe
flauwte,trema’s,draaierig,Engels
lunchpauze,echo’s,raadselachtig,Arabisch
autorace,risico’s,tegenwoordig,Noordzee
traumahelikopter,salto’s,volledig,Frankrijk
dagpauwoog,hobby’s,hebberig,Oostenrijk
recentelijk,spreiden,allergieën,betaling
gemakkelijk,aardbeien,smeuïg,vertraging
dadelijk,getreiter,Venetië,omleiding
besmettelijk,begeleiding,tweeëndertig,gaswinning
huishoudelijk,eigenwijze,skiën,afvalverwerking
